UF,PR
Cidade,IPIRANGA
Nome Posto,CERRO AZUL
Latitude,-24.866666666666667
Longitude,-50.65
Codigo,2450054
Qtd. Anos,42
Ano,Maxima
1975,47.4
1976,78
1977,111
1978,122
1979,74
1980,92
1981,66.4
1982,78.4
1983,120
1984,86
1985,79
1986,110
1987,104.8
1988,122
1989,118
1990,75.2
1991,64.7
1992,70.2
1993,106.8
1994,95
1995,63.4
1996,88.4
1997,29.6
1998,48.7
1999,85.3
2000,96
2001,110.7
2002,74.2
2003,83.4
2004,57.5
2005,136.7
2006,62
2007,63
2008,69.9
2009,83
2010,82
2011,70.8
2012,87.9
2013,179
2014,118.2
2015,102
2017,1555.4
