UF,PR
Cidade,RAMILANDIA
Nome Posto,FAZENDA RAMI
Latitude,-25.04527777777778
Longitude,-54.05555555555555
Codigo,2554023
Qtd. Anos,42
Ano,Maxima
1975,66.1
1976,74.2
1977,115.5
1978,50.5
1979,126
1980,116.4
1981,120
1982,104.5
1983,103.5
1984,65.4
1985,75.5
1986,85.5
1987,93
1988,90.3
1989,80.5
1990,118.8
1991,114.2
1992,201.8
1993,101.8
1994,92.3
1995,78.4
1996,123.2
1997,127.8
1998,145.5
1999,97.4
2000,81.3
2001,85.6
2002,94.6
2003,147.4
2004,82.7
2005,111.3
2006,90.4
2007,172.4
2008,125.2
2009,143.9
2010,86.8
2011,89.1
2012,138.9
2013,201.7
2014,239.5
2015,100.8
2017,78.4
