UF,PR
Cidade,ANTONINA
Nome Posto,COLONIA DO CACHOEIRA
Latitude,-25.233333333333334
Longitude,-48.75
Codigo,2548003
Qtd. Anos,72
Ano,Maxima
1946,66.2
1947,87
1948,144
1949,165
1950,100.9
1951,114
1952,115
1953,144
1954,132
1955,78
1956,89
1957,99
1958,87.6
1959,100.4
1960,76.4
1961,119
1962,74
1963,93.2
1964,137
1965,101
1966,64.6
1967,71
1968,164
1969,112.6
1970,99.5
1971,83.5
1972,85
1973,126.6
1974,62.4
1975,100.2
1976,121.8
1977,60.8
1978,87.2
1979,52.4
1980,80.4
1981,82.2
1982,117.6
1983,98.4
1984,82.4
1985,93.2
1986,122.4
1987,104.2
1988,115.1
1989,110
1990,103.1
1991,81.8
1992,88.7
1993,102.6
1994,104.5
1995,133.5
1996,166.8
1997,117.9
1998,133.5
1999,75.5
2000,83
2001,129.3
2002,102.5
2003,120.4
2004,123
2005,76
2006,161
2007,120.4
2008,98.4
2009,74.6
2010,158.2
2011,151.5
2012,123
2013,98.9
2014,172
2015,84.5
2016,89.2
2017,72.7
