UF,PR
Cidade,PIRAQUARA
Nome Posto,PIRAQUARA
Latitude,-25.45
Longitude,-49.06666666666667
Codigo,2549004
Qtd. Anos,59
Ano,Maxima
1958,104
1959,56
1960,112
1961,144
1962,62
1963,85
1964,135
1965,132
1966,163
1967,69
1968,145
1969,136
1970,97
1971,87
1972,61
1973,66.3
1974,76.5
1975,56
1976,57.6
1977,45.2
1978,68.2
1979,54.8
1980,108.4
1981,39.6
1982,69.8
1983,89.6
1984,66.4
1985,58.2
1986,98
1987,68.4
1988,32
1989,73.4
1990,70.4
1991,48.6
1992,42.5
1993,82.5
1994,87.5
1995,127.5
1996,52
1997,91.6
1998,75.6
1999,63.5
2000,58.4
2001,80.5
2002,63.1
2003,89.5
2004,114.7
2005,83
2006,49.1
2007,67
2008,50.2
2009,87.8
2010,90.1
2011,90.9
2012,82.8
2013,84.3
2014,73.5
2015,60
2017,59.5
