UF,PR
Cidade,SAO PEDRO DO PARANA
Nome Posto,LEONI
Latitude,-22.795
Longitude,-53.159166666666664
Codigo,2253008
Qtd. Anos,44
Ano,Maxima
1975,76.4
1976,73.3
1977,48.3
1978,77
1979,95.7
1980,93.4
1981,88.9
1982,160.8
1983,85.2
1984,88.4
1985,71
1986,62.9
1987,69.2
1988,69.4
1989,81.6
1990,54.6
1991,73.8
1992,93.4
1993,90.4
1994,77
1995,103.6
1996,64
1997,100
1998,53.6
1999,78
2000,97.7
2001,76.5
2002,114.9
2003,128.1
2004,59
2005,74
2006,110.6
2007,108.6
2008,65.8
2009,142.2
2010,96.7
2011,79.8
2012,122.2
2013,88.8
2014,64.3
2015,95.9
2016,65.3
2017,145.4
2018,135.7
