UF,PR
Cidade,ENEAS MARQUES
Nome Posto,PINHALZINHO
Latitude,-25.8875
Longitude,-53.0825
Codigo,2553046
Qtd. Anos,41
Ano,Maxima
1976,75
1977,64.2
1978,68.8
1979,80.4
1980,89.2
1981,125
1982,113.6
1983,167.8
1984,145
1985,49.1
1986,82
1987,78.3
1988,110.5
1989,83.8
1990,116
1991,75.2
1992,148.6
1993,84.2
1994,147.7
1995,131
1996,117.7
1997,145.1
1998,148.8
1999,71.8
2000,103.7
2001,77
2002,158.5
2003,86
2004,89.9
2005,94.4
2006,84.1
2007,176.7
2008,88.3
2009,75.3
2010,91.9
2011,94.2
2012,116.8
2013,91.1
2014,138.9
2015,81.8
2017,70.1
