UF,PR
Cidade,SANTA MARIA DO OESTE
Nome Posto,BARRA GRANDE
Latitude,-24.779166666666665
Longitude,-51.95444444444445
Codigo,2451021
Qtd. Anos,42
Ano,Maxima
1975,64
1976,104
1977,78.4
1978,119
1979,200
1980,91.8
1981,131.8
1982,102.2
1983,127.8
1984,106.4
1985,83
1986,75.2
1987,69
1988,56.5
1989,85
1990,68
1991,93.9
1992,114.5
1993,92.4
1994,106.2
1995,68.8
1996,69
1997,66.7
1998,115.2
1999,69.9
2000,142.5
2001,74.2
2002,111
2003,96.5
2004,73.9
2005,81.6
2006,90.8
2007,99.3
2008,86
2009,143.1
2010,102.6
2011,134.4
2012,117.8
2013,146.1
2014,127.7
2015,90.4
2017,62.7
