UF,PR
Cidade,MARMELEIRO
Nome Posto,PONTE MARMELEIRO MTE. ETA
Latitude,-26.1525
Longitude,-53.01833333333333
Codigo,2653024
Qtd. Anos,40
Ano,Maxima
1977,80.2
1978,70.6
1979,123
1980,82
1981,84.4
1982,100.6
1983,172.6
1984,90.6
1985,65
1986,59
1987,61.2
1988,75
1989,94
1990,146.4
1991,108.4
1992,101.7
1993,86.8
1994,94.5
1995,85.1
1996,87.9
1997,142.4
1998,120.6
1999,84.2
2000,91.8
2001,106.5
2002,112
2003,87.6
2004,106
2005,108
2006,94.2
2007,170.9
2008,100
2009,105
2010,170
2011,132
2012,125.5
2013,126
2014,116
2015,110
2017,42
