UF,PR
Cidade,PORECATU
Nome Posto,PORECATU
Latitude,-22.754722222222224
Longitude,-51.37388888888889
Codigo,2251023
Qtd. Anos,40
Ano,Maxima
1979,60.8
1980,85
1981,129.4
1982,85.8
1983,205
1984,66.5
1985,70
1986,76.2
1987,70
1988,62.6
1989,66.2
1990,79.8
1991,57
1992,77.4
1993,91.3
1994,104.9
1995,72
1996,70.6
1997,72.5
1998,132
1999,84.8
2000,69.8
2001,58.9
2002,94.8
2003,103.1
2004,67.5
2005,65.9
2006,60.2
2007,69.3
2008,56.6
2009,90
2010,78.1
2011,79.2
2012,176.6
2013,83.9
2014,62.5
2015,92.3
2016,76
2017,1555.4
2018,63
