UF,PR
Cidade,MAMBORE
Nome Posto,MAMBORE
Latitude,-24.283055555555556
Longitude,-52.516666666666666
Codigo,2452014
Qtd. Anos,52
Ano,Maxima
1965,101
1966,75
1967,71.4
1968,71.2
1969,128.8
1970,67.2
1971,71.4
1972,100
1973,117.8
1974,76
1975,100
1976,86.2
1977,72.5
1978,170.2
1979,107.1
1980,70.5
1981,111.6
1982,107.6
1983,148
1984,121
1985,72.3
1986,98.4
1987,74.8
1988,81
1989,83.3
1990,84.4
1991,69.4
1992,131.5
1993,96.7
1994,121.5
1995,75.5
1996,76.4
1997,112.6
1998,116.4
1999,81.3
2000,110.4
2001,63.4
2002,84.6
2003,105.1
2004,94.2
2005,108.4
2006,103.5
2007,110.7
2008,57.9
2009,123.3
2010,107.6
2011,71.6
2012,150.6
2013,200.2
2014,172.9
2015,136.6
2017,63.7
