UF,PR
Cidade,NOVA AURORA
Nome Posto,NOVO PORTO 2
Latitude,-24.378055555555555
Longitude,-53.161944444444444
Codigo,2453043
Qtd. Anos,39
Ano,Maxima
1978,78
1979,75
1980,82
1981,140
1982,47.4
1983,112.5
1984,67.7
1985,109.4
1986,107.6
1987,59
1988,57
1989,97.2
1990,107
1991,88.6
1992,141.5
1993,101
1994,90
1995,87
1996,130
1997,123
1998,121
1999,93.5
2000,73
2001,78
2002,77
2003,83
2004,80.5
2005,77.8
2006,110
2007,115
2008,90
2009,110.2
2010,86
2011,70.2
2012,120.5
2013,120
2014,89.8
2015,120
2017,85.6
