UF,PR
Cidade,GUARAPUAVA
Nome Posto,GUARAPUAVA - COLEGIO AGRICOLA
Latitude,-25.364722222222223
Longitude,-51.496944444444445
Codigo,2551010
Qtd. Anos,46
Ano,Maxima
1964,56.4
1973,63.2
1974,30.2
1975,20
1976,81.2
1977,54
1978,75.7
1979,70.2
1980,90
1981,75.2
1982,80
1983,140.6
1984,95
1985,74
1986,84
1987,122.2
1988,64.6
1989,92.4
1990,94.4
1991,74.4
1992,165.2
1993,99
1994,114
1995,96.4
1996,77
1997,92.2
1998,119.8
1999,84.2
2000,81.2
2001,51.8
2002,73
2003,70.2
2004,96
2005,75
2006,68.8
2007,98.2
2008,74.2
2009,84.6
2010,87.6
2011,115.6
2012,129.6
2013,131.2
2014,193.6
2015,69.2
2016,66.7
2017,91.2
