UF,PR
Cidade,PLANALTINA DO PARANA
Nome Posto,COMUR
Latitude,-23.077222222222222
Longitude,-52.95916666666667
Codigo,2352060
Qtd. Anos,43
Ano,Maxima
1974,93.2
1975,78.6
1976,99
1977,71
1978,88.3
1979,85.3
1980,73
1981,78.9
1982,84
1983,82.4
1984,82.2
1985,85.8
1986,71.1
1987,74.3
1988,86.4
1989,98
1990,65.2
1991,85.8
1992,107
1993,83.3
1994,106
1995,98.2
1996,56.1
1997,108.2
1998,50.9
1999,89.8
2000,97.5
2001,71
2002,70.2
2003,100.7
2004,113.6
2005,66.8
2006,81.8
2007,147.8
2008,56.7
2009,131.9
2010,114.8
2011,58.3
2012,129.3
2013,87.1
2014,68.9
2015,102.4
2017,104.5
