UF,PR
Cidade,RIO BOM
Nome Posto,RIO BOM
Latitude,-23.76388888888889
Longitude,-51.41083333333333
Codigo,2351026
Qtd. Anos,42
Ano,Maxima
1975,133
1976,87.2
1977,68.1
1978,73.1
1979,100
1980,135.8
1981,81.8
1982,96.4
1983,90
1984,72
1985,151.5
1986,84
1987,66
1988,86.4
1989,84.5
1990,85.2
1991,80.2
1992,71.4
1993,72.7
1994,108
1995,98.5
1996,53.2
1997,154.9
1998,138.2
1999,150.4
2000,102.3
2001,59.6
2002,105.1
2003,95.8
2004,87.9
2005,72.6
2006,75.4
2007,115.3
2008,51.2
2009,128.9
2010,79.8
2011,126.1
2012,111.4
2013,91.6
2014,99.6
2015,141
2017,67
