UF,PR
Cidade,CEU AZUL
Nome Posto,CEU AZUL
Latitude,-25.133055555555558
Longitude,-53.85
Codigo,2553009
Qtd. Anos,52
Ano,Maxima
1965,150.8
1966,104.4
1967,133
1968,136
1969,100
1970,80
1971,75
1972,105
1973,96
1974,109
1975,111
1976,91
1977,126
1978,87
1979,103
1980,82
1981,158.5
1982,186
1983,112.5
1984,88
1985,105
1986,85
1987,97
1988,74.2
1989,97
1990,147.5
1991,95.2
1992,145.3
1993,133
1994,91.7
1995,118.3
1996,92.1
1997,147.5
1998,163
1999,85
2000,134.3
2001,73.1
2002,110.2
2003,146.5
2004,98
2005,123.7
2006,139.9
2007,145
2008,107.9
2009,137.5
2010,88.7
2011,140.7
2012,128.5
2013,202
2014,182.7
2015,175.8
2017,110.8
