UF,PR
Cidade,QUEDAS DO IGUACU
Nome Posto,LINHA MIRIM
Latitude,-25.392777777777777
Longitude,-52.964444444444446
Codigo,2552046
Qtd. Anos,41
Ano,Maxima
1976,70.6
1977,73.4
1978,65.8
1979,79.2
1980,84.6
1981,120.6
1982,116
1983,150.4
1984,375.2
1985,52.6
1986,83.3
1987,90.1
1988,75.3
1989,71.8
1990,98
1991,72.3
1992,201
1993,165.3
1994,161.5
1995,184.7
1996,101.3
1997,108.6
1998,94.5
1999,97.1
2000,93
2001,108.1
2002,88.3
2003,97.3
2004,108.7
2005,122.6
2006,82.2
2007,98.2
2008,76.8
2009,92.6
2010,84.2
2011,134.1
2012,104.6
2013,113.4
2014,209.1
2015,90.4
2017,64.8
