UF,PR
Cidade,CRUZMALTINA
Nome Posto,PORTO MONTEIRO
Latitude,-24.105833333333333
Longitude,-51.48222222222223
Codigo,2451006
Qtd. Anos,43
Ano,Maxima
1974,91.1
1975,90.9
1976,77.6
1977,62.4
1978,108.6
1979,106.8
1980,56
1981,90
1982,100
1983,96
1984,88.5
1985,56.5
1986,88
1987,62.6
1988,75
1989,110.9
1990,83.8
1991,95.6
1992,88.3
1993,104
1994,115.8
1995,143.5
1996,80.7
1997,96.5
1998,49.5
1999,83.8
2000,98
2001,60.3
2002,88.8
2003,87.4
2004,66
2005,117
2006,87.7
2007,72.6
2008,90.2
2009,99
2010,58.3
2011,85.8
2012,87.1
2013,78.6
2014,141.5
2015,92.1
2017,106.5
