UF,PR
Cidade,DOUTOR ULYSSES
Nome Posto,DR. ULISSES
Latitude,-24.566944444444445
Longitude,-49.419444444444444
Codigo,2449021
Qtd. Anos,43
Ano,Maxima
1974,71.3
1975,76
1976,67.2
1977,68.5
1978,76.3
1979,86.6
1980,71
1981,66.8
1982,71.6
1983,108.2
1984,75
1985,43.4
1986,72.7
1987,41.2
1988,90.1
1989,165.2
1990,60
1991,78
1992,74.6
1993,68.8
1994,95.6
1995,91.9
1996,98.4
1997,110.8
1998,74
1999,62.7
2000,114.1
2001,79.3
2002,71.7
2003,76.8
2004,68.6
2005,105.3
2006,64.1
2007,109.5
2008,67.2
2009,79.9
2010,121.8
2011,123.1
2012,74
2013,75.6
2014,66.8
2015,60.7
2017,64
