UF,PR
Cidade,ADRIANOPOLIS
Nome Posto,CAPELA DA RIBEIRA
Latitude,-24.655555555555555
Longitude,-48.999722222222225
Codigo,2449000
Qtd. Anos,79
Ano,Maxima
1938,32
1939,56.5
1940,71.3
1941,75.4
1942,66
1943,30.3
1944,48.2
1945,112
1946,100
1947,58
1948,47
1949,60
1950,35
1951,36.2
1952,36.2
1953,38.2
1954,96.2
1955,38.2
1956,66.2
1957,66.4
1958,33.4
1959,94
1960,70.2
1961,35.4
1962,20
1963,42
1964,51
1965,50
1966,17.3
1967,13.1
1968,15.1
1969,13
1970,20
1971,10.6
1972,58
1973,75.2
1974,75.1
1975,100
1976,70.2
1977,40.6
1978,52.6
1979,56.4
1980,70.2
1981,42.4
1982,84
1983,67
1984,74
1985,67.7
1986,56.8
1987,64.5
1988,60.8
1989,90.3
1990,44.7
1991,77.3
1992,72
1993,107.1
1994,69.4
1995,128.5
1996,46.7
1997,76.8
1998,126.4
1999,57.5
2000,87.1
2001,60.2
2002,120.2
2003,60.9
2004,65.5
2005,90.7
2006,73
2007,83
2008,53.4
2009,86.4
2010,86.5
2011,66.9
2012,68.4
2013,99.4
2014,53.9
2015,71.6
2017,64.3
