UF,PR
Cidade,PALMITAL
Nome Posto,PALMITAL
Latitude,-24.884444444444444
Longitude,-52.20277777777778
Codigo,2452016
Qtd. Anos,51
Ano,Maxima
1965,103.8
1966,60
1967,90
1968,63
1969,85
1970,115.8
1971,129.5
1972,75
1973,97.2
1974,183.7
1975,62
1976,114.2
1977,96.6
1978,94
1979,115.8
1980,116
1981,150.6
1982,95
1983,82.2
1984,104
1985,94.6
1986,95.6
1987,97
1988,104.2
1989,120.8
1990,132.4
1991,132.4
1992,116.6
1993,97.3
1994,88.2
1995,100.1
1996,82.4
1997,112
1998,78.1
1999,74.5
2000,96.2
2001,55.4
2002,119.4
2003,79.3
2004,78
2005,79.2
2006,99.5
2007,121.1
2008,73.9
2009,132.6
2010,103.5
2011,120
2012,107.5
2013,139
2014,113.5
2015,98
