UF,PR
Cidade,SANTA LUCIA
Nome Posto,LINHA SANTA CATARINA
Latitude,-25.35
Longitude,-53.55
Codigo,2553029
Qtd. Anos,42
Ano,Maxima
1975,87
1976,72.7
1977,68.5
1978,99.5
1979,162
1980,130
1981,127.8
1982,147
1983,161
1984,128
1985,50
1986,80.8
1987,121
1988,79
1989,79.8
1990,153.6
1991,84.4
1992,141.3
1993,140.8
1994,124.5
1995,101.6
1996,273.7
1997,127.6
1998,139.4
1999,170.4
2000,65.8
2001,84.5
2002,129.5
2003,153.6
2004,94.1
2005,170
2006,93
2007,98.1
2008,89.6
2009,138.6
2010,95.3
2011,109.5
2012,106.4
2013,155.5
2014,179.9
2015,102.1
2017,112.8
