UF,PR
Cidade,IVAIPORA
Nome Posto,IVAIPORA
Latitude,-24.25
Longitude,-51.65
Codigo,2451014
Qtd. Anos,63
Ano,Maxima
1955,90
1956,74.5
1957,126.2
1958,135.9
1959,103.8
1960,85.6
1961,143.4
1962,80.3
1963,84.2
1964,91
1965,61
1966,53
1967,77
1968,110
1969,107
1970,89
1971,90.5
1972,70.7
1973,95
1974,85
1975,81.3
1976,110
1977,123.3
1978,105.2
1979,97
1980,74.4
1981,104.5
1982,153.8
1983,106.8
1984,95.1
1985,67.5
1986,95.6
1987,64.1
1988,77
1989,64
1990,73.7
1991,64.6
1992,98
1993,64.6
1994,157
1995,59.6
1996,81.3
1997,143
1998,107.2
1999,81.1
2000,70
2001,67.6
2002,81.6
2003,86.8
2004,64
2005,97.5
2006,100.9
2007,164
2008,80.7
2009,150
2010,74
2011,68
2012,152
2013,145.5
2014,156.3
2015,106.9
2016,77.5
2017,90
