UF,PR
Cidade,NOVA OLIMPIA
Nome Posto,NOVA OLIMPIA
Latitude,-23.485833333333336
Longitude,-53.08388888888889
Codigo,2353029
Qtd. Anos,41
Ano,Maxima
1976,62.9
1977,71.4
1978,92.3
1979,64.2
1980,66.4
1981,123.7
1982,102
1983,57
1984,95.5
1985,60.4
1986,80
1987,55.2
1988,75
1989,90
1990,67.2
1991,61
1992,180.1
1993,137.2
1994,99.4
1995,56.4
1996,70.5
1997,107.8
1998,86.3
1999,68.5
2000,130.8
2001,89.8
2002,102.3
2003,59
2004,93.6
2005,60.8
2006,160.9
2007,87.3
2008,138.1
2009,82
2010,82.4
2011,64.2
2012,90
2013,221.8
2014,105.2
2015,147.2
2017,90.1
