UF,PR
Cidade,SANTA FE
Nome Posto,SANTA FE
Latitude,-23.040277777777778
Longitude,-51.80555555555555
Codigo,2351065
Qtd. Anos,37
Ano,Maxima
1980,140.2
1981,81
1982,93.8
1983,86.1
1984,80.6
1985,60.2
1986,87.8
1987,77.6
1988,67.6
1989,76.5
1990,70.2
1991,113.5
1992,90.2
1993,82.7
1994,67.6
1995,80.9
1996,66.5
1997,82.1
1998,100.2
1999,96.9
2000,82.6
2001,55.7
2002,155.9
2003,82.3
2004,88.7
2005,78.1
2006,71.8
2007,95.9
2008,64.6
2009,120.1
2010,104.4
2011,65.9
2012,182.5
2013,92.4
2014,130.4
2015,132.9
2017,84
