UF,PR
Cidade,PRUDENTOPOLIS
Nome Posto,VILA ESPERANCA
Latitude,-25.15
Longitude,-51.06666666666667
Codigo,2551043
Qtd. Anos,42
Ano,Maxima
1975,95.8
1976,59.8
1977,75
1978,97
1979,81
1980,80
1981,87
1982,113
1983,130
1984,90
1985,84
1986,57.3
1987,81.4
1988,117.4
1989,104
1990,95
1991,88
1992,95.1
1993,104
1994,79.2
1995,76.3
1996,69.4
1997,69.3
1998,99
1999,79.1
2000,81.8
2001,110.8
2002,87.9
2003,98.9
2004,70.5
2005,62.8
2006,68.4
2007,99.1
2008,164.9
2009,123
2010,77.5
2011,130.2
2012,66.9
2013,113.7
2014,96.7
2015,108.8
2017,116.9
