UF,PR
Cidade,CAMBARA
Nome Posto,CAMBARA
Latitude,-23.041944444444447
Longitude,-50.07
Codigo,2350011
Qtd. Anos,44
Ano,Maxima
1973,90.2
1974,117.2
1975,68.6
1976,86.4
1977,85.4
1978,91.6
1979,90
1980,94.6
1981,88.2
1982,85
1983,82.2
1984,107.8
1985,84
1986,95.2
1987,81.8
1988,73.6
1989,66.4
1990,64
1991,83
1992,88
1993,77.8
1994,97.8
1995,66.9
1996,98.7
1997,109
1998,65.2
1999,68.7
2000,53.1
2001,88.8
2002,132
2003,51.6
2004,61
2005,59
2006,104
2007,70.1
2008,65
2009,65.3
2010,72
2011,98.2
2012,69.1
2013,125
2014,148
2015,83
2017,94.8
