UF,PR
Cidade,IVAI
Nome Posto,IVAI
Latitude,-25.016666666666666
Longitude,-50.85
Codigo,2550006
Qtd. Anos,86
Ano,Maxima
1912,165
1913,108
1916,80
1925,68
1926,71.2
1927,76.6
1928,86
1929,65.4
1930,80.4
1931,66.5
1932,76.2
1933,55.1
1934,68.7
1935,70
1936,70.9
1937,79.6
1938,83.6
1939,74.2
1940,54.2
1941,96.7
1942,87.3
1943,74
1944,65.7
1945,63.6
1946,106
1947,63.8
1948,92.3
1949,64
1950,79.6
1951,63.4
1952,16.6
1953,64.2
1954,61
1955,82.8
1956,54.4
1957,108
1958,58.8
1959,104.1
1960,75.5
1961,93.6
1962,68.4
1963,95.6
1964,49.6
1965,78.4
1966,65.2
1967,82.5
1977,62.3
1978,95.7
1979,97.2
1980,64.8
1981,59
1982,76.9
1983,106.2
1984,74.2
1985,68.3
1986,91.2
1987,89
1988,90
1989,96.8
1990,117.8
1991,39
1992,69
1993,73
1994,151
1995,300
1996,98
1997,55.2
1998,67.2
1999,119
2000,71.8
2001,81.5
2002,97
2003,74.2
2004,79.1
2005,58.8
2006,62
2007,73.2
2008,86.7
2009,104.8
2010,68
2011,184
2012,87.7
2013,135.8
2014,100.7
2015,130.4
2017,70.6
