UF,PR
Cidade,CANTAGALO
Nome Posto,CANTAGALO
Latitude,-25.366666666666667
Longitude,-52.11666666666667
Codigo,2552041
Qtd. Anos,41
Ano,Maxima
1976,99
1977,98
1978,60.4
1979,96
1980,111.3
1981,103.2
1982,99
1983,114.4
1984,76
1985,54.7
1986,154.5
1987,145
1988,75.7
1989,87.5
1990,80.5
1991,104.7
1992,201
1993,155.8
1994,105.6
1995,107.4
1996,95
1997,88.2
1998,118.5
1999,105.6
2000,79.5
2001,72.4
2002,66.9
2003,103.7
2004,108
2005,88.5
2006,77
2007,84.1
2008,76.5
2009,123.7
2010,73.4
2011,125.7
2012,94.7
2013,170.8
2014,72.2
2015,77.9
2017,1999.8
