UF,PR
Cidade,CERRO AZUL
Nome Posto,SAO SEBASTIAO
Latitude,-24.85
Longitude,-49.46666666666667
Codigo,2449023
Qtd. Anos,43
Ano,Maxima
1974,75.8
1975,58.5
1976,52.3
1977,57.6
1978,93.4
1979,53
1980,59.1
1981,47.3
1982,95.6
1983,94.1
1984,50.4
1985,48
1986,67.2
1987,67.6
1988,80
1989,62
1990,89.4
1991,57.8
1992,97
1993,64.6
1994,73
1995,68.6
1996,91.4
1997,75.9
1998,93
1999,60.4
2000,118.5
2001,73.7
2002,82.9
2003,70
2004,105.3
2005,75.4
2006,54.4
2007,100.8
2008,59.3
2009,78.3
2010,77.3
2011,130
2012,56
2013,55.3
2014,135
2015,95.1
2017,61.3
