UF,PR
Cidade,GUARAPUAVA
Nome Posto,INVERNADINHA
Latitude,-25.3
Longitude,-51.43333333333333
Codigo,2551034
Qtd. Anos,41
Ano,Maxima
1976,84.5
1977,153
1978,67.1
1979,65
1980,147.2
1981,64.4
1982,73.6
1983,121.3
1984,81.2
1985,70.2
1986,64.8
1987,136.7
1988,71.5
1989,70
1990,73.4
1991,66.1
1992,130.1
1993,200.5
1994,80.8
1995,139.7
1996,75.5
1997,107.4
1998,104.1
1999,62.5
2000,78.1
2001,85.1
2002,124.7
2003,114
2004,83.7
2005,93.8
2006,40.5
2007,113.9
2008,91
2009,74.8
2010,71.4
2011,102.7
2012,81.7
2013,94.9
2014,202.3
2015,78.8
2017,156.3
