UF,PR
Cidade,ARAPONGAS
Nome Posto,ARAPONGAS
Latitude,-23.4
Longitude,-51.43333333333333
Codigo,2351048
Qtd. Anos,43
Ano,Maxima
1975,107.1
1976,96.6
1977,84.1
1978,72.7
1979,69.1
1980,79.2
1981,99.4
1982,69.5
1983,80.2
1984,79
1985,75
1986,68.2
1987,89.2
1988,58.2
1989,119.1
1990,74
1991,71.4
1992,92.4
1993,95
1994,115.2
1995,65
1996,85.5
1997,152.8
1998,99.3
1999,114.5
2000,81.5
2001,69.2
2002,91.2
2003,67.3
2004,83.2
2005,101.6
2006,54.2
2007,88.6
2008,72.8
2009,110.1
2010,48.2
2011,84.7
2012,160.5
2013,102
2014,84.8
2015,103.1
2016,285.5
2017,75.8
