UF,PR
Cidade,VERE
Nome Posto,BALSA DO SANTANA
Latitude,-25.920555555555556
Longitude,-52.852222222222224
Codigo,2552002
Qtd. Anos,48
Ano,Maxima
1956,36
1957,120.2
1958,93
1959,125.8
1960,95.2
1961,73.8
1962,68.4
1963,59.2
1964,89.9
1965,96.4
1966,78.4
1967,91.6
1968,68.4
1969,128.8
1970,86.1
1971,90.9
1972,165.4
1973,150.1
1974,98.6
1975,111.4
1976,86.6
1977,92.2
1978,91.4
1979,92.4
1980,90
1981,109.2
1982,106.4
1983,172
1984,125
1985,56.4
1986,88.5
1987,95
1988,110.5
1989,98
1990,108.3
1991,145.4
1992,152.4
1993,82
1994,105.2
1995,83.4
1996,90.8
1997,141
1998,95.4
1999,68.4
2000,77.6
2001,83.4
2002,83.4
2014,217.5
