UF,PR
Cidade,MORRETES
Nome Posto,MARUMBI
Latitude,-25.483333333333334
Longitude,-48.833333333333336
Codigo,2548027
Qtd. Anos,53
Ano,Maxima
1948,73
1949,166.2
1950,67.2
1951,159.4
1952,112
1953,76.8
1954,80.4
1955,91
1956,73.1
1957,69.2
1958,106
1959,61.5
1960,183.9
1961,99.6
1962,148
1963,78.4
1964,79.4
1965,83.4
1966,79
1967,80.4
1977,55
1978,71.6
1979,74.4
1980,87.6
1981,91.4
1982,118
1983,120
1984,75
1985,50.8
1986,86.4
1987,73
1988,68.6
1989,120.4
1990,82
1991,79.6
1992,97.5
1993,99.6
1994,96
1995,97.3
1996,90
1997,80
1998,75
1999,98
2000,61.8
2001,125
2002,89
2003,155.1
2004,188.6
2005,66.2
2006,51.3
2007,148.5
2008,130
2009,44.9
