UF,PR
Cidade,LEOPOLIS
Nome Posto,LEOPOLIS
Latitude,-23.08
Longitude,-50.754444444444445
Codigo,2350026
Qtd. Anos,42
Ano,Maxima
1975,31.8
1976,96.1
1977,64.4
1978,67.2
1979,75
1980,167.6
1981,66
1982,92
1983,72.4
1984,106.5
1985,114.2
1986,72
1987,162
1988,60
1989,102.5
1990,79
1991,84
1992,72.1
1993,110.6
1994,135.2
1995,64
1996,82
1997,90.2
1998,76
1999,77.1
2000,95
2001,73.6
2002,82.2
2003,100.1
2004,50.1
2005,84.2
2006,123.5
2007,97.5
2008,79
2009,85.5
2010,83.1
2011,133.2
2012,210.2
2013,134.3
2014,130.2
2015,88.8
2017,80.1
