UF,PR
Cidade,AMPERE
Nome Posto,SANTA IZABEL DO OESTE
Latitude,-25.816666666666666
Longitude,-53.5
Codigo,2553010
Qtd. Anos,47
Ano,Maxima
1965,106.8
1966,87.2
1967,88.2
1968,98
1969,131
1970,112.2
1971,103
1972,151.4
1973,148
1974,71.4
1975,111
1976,100
1977,111
1978,78
1979,111
1980,91
1981,93
1982,116.6
1983,147
1984,125
1985,104.2
1986,98.3
1987,82.6
1988,131.4
1989,86.3
1990,112.6
1991,83.2
1992,110.6
1993,103.5
1994,123.3
1995,94.7
1996,121.3
1997,147.8
1998,149.4
1999,74.4
2000,107.3
2001,101.6
2002,109.3
2003,105.5
2004,100.6
2005,95.9
2006,63.7
2007,100.5
2008,83.8
2009,90
2010,110.7
2011,35.2
