UF,PR
Cidade,CAMPO DO TENENTE
Nome Posto,CAMPO DO TENENTE
Latitude,-25.983333333333334
Longitude,-49.68333333333333
Codigo,2549076
Qtd. Anos,36
Ano,Maxima
1981,48
1982,46
1983,65.1
1984,72
1985,56
1986,57.2
1987,92.2
1988,83.2
1989,75.4
1990,58
1991,72
1992,175.8
1993,80.4
1994,60
1995,88
1996,70.8
1997,104.6
1998,84.6
1999,70.2
2000,54.2
2001,119.8
2002,74.4
2003,74.4
2004,51.6
2005,93.3
2006,73.2
2007,71.8
2008,104.7
2009,104.3
2010,107.9
2011,89.1
2012,160.6
2013,78.6
2014,184.2
2015,60.1
2017,69
