UF,PR
Cidade,GUARANIACU
Nome Posto,GUARANIACU
Latitude,-25.083333333333332
Longitude,-52.88333333333333
Codigo,2552006
Qtd. Anos,53
Ano,Maxima
1964,81.2
1965,93.4
1966,81.6
1967,65.6
1968,103.4
1969,126.2
1970,124.8
1971,66.4
1972,85.6
1973,85
1974,77.6
1975,64.4
1976,95
1977,100.8
1978,78.4
1979,162.6
1980,83.8
1981,100.1
1982,107.2
1983,109.2
1984,101
1985,67.2
1986,88.8
1987,126.4
1988,73
1989,114.2
1990,112
1991,79
1992,158.3
1993,125.1
1994,136.1
1995,98.5
1996,88.6
1997,110.4
1998,130.7
1999,77.6
2000,88.2
2001,72.1
2002,85.1
2003,113.1
2004,121.9
2005,100.3
2006,71.9
2007,209
2008,83.7
2009,128.2
2010,122.8
2011,120
2012,107.7
2013,97
2014,177.5
2015,106.7
2017,129.1
