UF,PR
Cidade,ITAPERUCU
Nome Posto,ERVALZINHO
Latitude,-25.133055555555558
Longitude,-49.55
Codigo,2549053
Qtd. Anos,43
Ano,Maxima
1974,48.6
1975,65
1976,77.7
1977,134
1978,67
1979,75
1980,117.6
1981,46
1982,80.2
1983,93.8
1984,58.2
1985,50.2
1986,53.6
1987,96.4
1988,94
1989,65.2
1990,68
1991,55.4
1992,71.7
1993,103.6
1994,54.7
1995,88.6
1996,91.8
1997,81.7
1998,87.4
1999,65.6
2000,101.7
2001,83
2002,70
2003,68.9
2004,82
2005,71.3
2006,69.1
2007,102.6
2008,65.6
2009,78.6
2010,89.1
2011,148.3
2012,108
2013,96
2014,97.6
2015,77.7
2017,87.7
