UF,PR
Cidade,MARMELEIRO
Nome Posto,FAXINAL DO CAMPO ERE
Latitude,-26.378055555555555
Longitude,-53.04472222222222
Codigo,2653022
Qtd. Anos,41
Ano,Maxima
1976,52
1977,73.5
1978,112.3
1979,107.8
1980,68
1981,122.2
1982,122.6
1983,108.6
1984,114
1985,81.8
1986,129.2
1987,134.3
1988,77.9
1989,63.7
1990,108.3
1991,138
1992,79.6
1993,74.8
1994,81.5
1995,88.1
1996,79.6
1997,129.3
1998,114.4
1999,91.9
2000,76.8
2001,109.7
2002,98.2
2003,136.6
2004,77.6
2005,126.6
2006,71.9
2007,104.6
2008,76.8
2009,82.1
2010,119.4
2011,84.6
2012,112.2
2013,170.9
2014,177
2015,104.4
2017,106.3
