UF,PR
Cidade,IVAIPORA
Nome Posto,JACUTINGA
Latitude,-24.25
Longitude,-51.53333333333333
Codigo,2451022
Qtd. Anos,42
Ano,Maxima
1975,60
1976,82
1977,101.2
1978,67.5
1979,100.8
1980,68
1981,110.8
1982,130
1983,132.5
1984,91
1985,87.2
1986,92.3
1987,90.2
1988,72
1989,100.3
1990,105
1991,93.4
1992,100.5
1993,70
1994,141
1995,70.5
1996,80.3
1997,116
1998,105.3
1999,70.3
2000,70.3
2001,50.5
2002,83.9
2003,120.5
2004,54.1
2005,93.6
2006,132.9
2007,115.8
2008,77.7
2009,103
2010,59.5
2011,87.5
2012,156.6
2013,127.8
2014,152.7
2015,124.6
2017,90
