UF,PR
Cidade,GUARATUBA
Nome Posto,PEDRA BRANCA DO ARARAQUARA
Latitude,-25.966666666666665
Longitude,-48.933055555555555
Codigo,2548020
Qtd. Anos,48
Ano,Maxima
1962,68
1963,184.2
1964,80.2
1965,89.4
1966,124.1
1967,125.8
1968,146.4
1969,225.8
1970,103.4
1971,136.2
1972,156.6
1973,216.8
1974,84.6
1975,80.1
1976,216.5
1977,157
1978,71.7
1979,120.7
1980,131.6
1981,259.6
1982,114.6
1983,163.1
1984,79.3
1985,111.1
1986,88
1987,100.9
1988,90.9
1989,71
1990,70.9
1991,63.5
1992,57.7
1998,129
1999,202.4
2000,141.2
2001,169.3
2002,75.5
2003,228.3
2004,131.6
2005,133
2006,165.1
2007,98.3
2008,82.3
2009,40.3
2010,105.6
2011,90
2012,57.2
2013,46.3
2014,57.9
