UF,PR
Cidade,IRATI
Nome Posto,GONCALVES JUNIOR
Latitude,-25.466666666666665
Longitude,-50.78333333333333
Codigo,2550029
Qtd. Anos,42
Ano,Maxima
1975,56.4
1976,84
1977,67.4
1978,78.6
1979,66.6
1980,80.6
1981,52
1982,70.3
1983,119
1984,84.8
1985,73.2
1986,98.2
1987,114.8
1988,71.2
1989,73.2
1990,75
1991,77.8
1992,125
1993,110.5
1994,77
1995,95.8
1996,92.6
1997,82.4
1998,112.8
1999,77.7
2000,82.6
2001,90
2002,81.4
2003,86.9
2004,64.3
2005,95.7
2006,55.7
2007,139.5
2008,78.7
2009,89
2010,79.7
2011,117.1
2012,81.5
2013,146
2014,201.1
2015,65
2017,88.6
