UF,PR
Cidade,JANIOPOLIS
Nome Posto,JANIOPOLIS
Latitude,-24.133333333333333
Longitude,-52.766666666666666
Codigo,2452010
Qtd. Anos,50
Ano,Maxima
1967,75
1968,112.4
1969,85
1970,80.6
1971,84.1
1972,87.7
1973,82.2
1974,58.8
1975,94
1976,105.9
1977,80.2
1978,87.4
1979,75.8
1980,91.5
1981,104
1982,166
1983,118.2
1984,70.6
1985,104.2
1986,73
1987,70.4
1988,73.3
1989,110.1
1990,87.6
1991,90.7
1992,117.4
1993,77.1
1994,76.5
1995,75.3
1996,95
1997,83.1
1998,85.9
1999,89.6
2000,115.7
2001,48.3
2002,99.9
2003,77.8
2004,82.5
2005,198.9
2006,83.2
2007,99.1
2008,80.1
2009,118.4
2010,104.4
2011,73.2
2012,103.2
2013,98.5
2014,232
2015,82
2017,70.6
