UF,PR
Cidade,PLANALTO
Nome Posto,SAO VALERIO
Latitude,-25.76972222222222
Longitude,-53.66444444444444
Codigo,2553038
Qtd. Anos,41
Ano,Maxima
1976,104
1977,82.2
1978,70.6
1979,102
1980,97
1981,115
1982,127.5
1983,155.7
1984,129.8
1985,102
1986,82.8
1987,95
1988,92.3
1989,95.1
1990,132.1
1991,158.9
1992,112.1
1993,93.7
1994,72.1
1995,92.8
1996,177.7
1997,136.8
1998,159
1999,81.1
2000,147.7
2001,80.4
2002,94.5
2003,102.2
2004,137.6
2005,145.9
2006,73.1
2007,123.1
2008,82.8
2009,87.9
2010,83
2011,113.4
2012,101.1
2013,137.2
2014,164.2
2015,96.6
2017,89
