UF,PR
Cidade,CORONEL VIVIDA
Nome Posto,CORONEL VIVIDA
Latitude,-25.983333333333334
Longitude,-52.56666666666667
Codigo,2552044
Qtd. Anos,41
Ano,Maxima
1976,59.2
1977,75
1978,82.8
1979,103.4
1980,88.1
1981,97
1982,134.2
1983,185.6
1984,116.3
1985,68.8
1986,94
1987,89.2
1988,90.7
1989,85.8
1990,132.7
1991,131.2
1992,162.7
1993,95.2
1994,95.3
1995,95.5
1996,85.9
1997,151.1
1998,124
1999,92.6
2000,83.3
2001,75
2002,120.5
2003,82.4
2004,69.8
2005,101.3
2006,64.2
2007,153
2008,117.8
2009,104.5
2010,143.3
2011,111.1
2012,114.9
2013,109.4
2014,121.5
2015,92
2017,83.2
