UF,PR
Cidade,JAPURA
Nome Posto,JAPURA
Latitude,-23.466666666666665
Longitude,-52.55
Codigo,2352045
Qtd. Anos,41
Ano,Maxima
1976,62
1977,60.8
1978,73.8
1979,116.3
1980,96.5
1981,127.3
1982,76.8
1983,112
1984,98.1
1985,70.5
1986,94.2
1987,81.2
1988,58.8
1989,71.2
1990,74.4
1991,103.8
1992,69.5
1993,86.6
1994,115.6
1995,69.3
1996,63.2
1997,126.7
1998,70.1
1999,110
2000,78
2001,86
2002,80
2003,121.5
2004,105
2005,90.4
2006,115
2007,89.7
2008,83.3
2009,134
2010,142
2011,90.5
2012,122
2013,94
2014,136.5
2015,94.8
2017,100
