UF,PR
Cidade,SAO PEDRO DO IVAI
Nome Posto,SAO PEDRO DO IVAI
Latitude,-23.86416666666667
Longitude,-51.858333333333334
Codigo,2351023
Qtd. Anos,42
Ano,Maxima
1975,51
1976,83
1977,62.2
1978,83.4
1979,84.6
1980,88
1981,121.2
1982,89.2
1983,97.2
1984,90
1985,116.7
1986,92.8
1987,59.3
1988,63
1989,98.7
1990,101.4
1991,86.3
1992,118.7
1993,71.4
1994,74.3
1995,114
1996,73.5
1997,76.5
1998,122.6
1999,113.2
2000,112.9
2001,80.6
2002,116.2
2003,65.2
2004,86.4
2005,78.5
2006,146.5
2007,128
2008,83
2009,101
2010,53
2011,64.8
2012,78.3
2013,97.1
2014,151.7
2015,140.8
2017,71.6
