UF,PR
Cidade,ALTO PIQUIRI
Nome Posto,ALTO PIQUIRI
Latitude,-24.014722222222222
Longitude,-53.439722222222215
Codigo,2453008
Qtd. Anos,50
Ano,Maxima
1967,59
1968,105
1969,191
1970,120
1971,72
1972,73
1973,61
1974,125
1975,66.2
1976,96
1977,75.3
1978,75
1979,78.2
1980,98
1981,95
1982,114.6
1983,93.4
1984,84.2
1985,77.1
1986,92.8
1987,72.5
1988,75
1989,86.8
1990,122
1991,76
1992,130.3
1993,112.5
1994,104.2
1995,90
1996,96.7
1997,94.9
1998,118.1
1999,130.7
2000,98.3
2001,97
2002,157.8
2003,91.5
2004,101.1
2005,79.2
2006,89.2
2007,91.2
2008,117.2
2009,103.3
2010,104.6
2011,68.9
2012,87.9
2013,79
2014,125.6
2015,161.8
2017,78.7
