UF,PR
Cidade,CERRO AZUL
Nome Posto,CERRO AZUL MONTANTE
Latitude,-24.843333333333334
Longitude,-49.27333333333333
Codigo,2449008
Qtd. Anos,70
Ano,Maxima
1938,47.4
1939,56.2
1940,37.4
1941,58.3
1942,58.6
1943,46
1944,49.2
1945,79.6
1946,76.9
1947,49.7
1948,54.8
1949,44
1950,54.8
1951,48.4
1952,72.6
1953,59.2
1954,57.4
1955,56.2
1956,53
1957,100
1958,54.4
1959,59
1960,85
1961,89.4
1962,56
1963,50
1964,83
1965,65.5
1966,96.2
1967,86
1978,43.6
1979,84
1980,59.8
1981,78.8
1982,76.1
1983,136
1984,64.6
1985,33.6
1986,58.8
1987,74
1988,84.4
1989,98.8
1990,72.2
1991,56.6
1992,109
1993,67.8
1994,85.7
1995,114
1996,52.8
1997,70
1998,101
1999,59.1
2000,113.2
2001,77
2002,50
2003,57
2004,143.9
2005,98.7
2006,112.8
2007,77.4
2008,54.3
2009,50.6
2010,68.6
2011,69.4
2012,50.9
2013,86
2014,84.9
2015,74.2
2016,62.3
2017,73.7
