UF,PR
Cidade,ANDIRA
Nome Posto,UHE CAPIVARA ANDIRA
Latitude,-23.085277777777776
Longitude,-50.285555555555554
Codigo,2350002
Qtd. Anos,73
Ano,Maxima
1945,43.4
1946,79.7
1947,102.2
1948,65.7
1949,47.4
1950,92
1951,77
1952,69
1953,56
1954,96
1955,78
1956,83
1957,85.4
1958,54
1959,120
1960,54
1961,48
1962,85
1963,82.4
1964,59
1965,61
1966,98
1967,109
1968,38.2
1969,63
1970,100
1971,58
1972,113.4
1973,70.2
1974,66.8
1975,76.8
1976,108.8
1977,63.6
1978,73.2
1979,60.4
1980,120.8
1981,99.1
1982,66.8
1983,56.1
1984,66.9
1985,59.1
1986,97.1
1987,81.8
1988,51.1
1989,75.7
1990,57.3
1991,61
1992,150.9
1993,66
1994,125.7
1995,91.5
1996,94.4
1997,114.8
1998,62.8
1999,60.3
2000,80.4
2001,68
2002,87.1
2003,79.3
2004,67.8
2005,62.3
2006,79.5
2007,82.5
2008,62
2009,87.7
2010,106.9
2011,158.1
2012,241.1
2013,156.7
2014,121.5
2015,91.2
2016,1555.4
2017,165
