UF,PR
Cidade,FORMOSA DO OESTE
Nome Posto,PORTO FORMOSA
Latitude,-24.2
Longitude,-53.333333333333336
Codigo,2453009
Qtd. Anos,51
Ano,Maxima
1966,77.8
1967,60.2
1968,83.4
1969,98.4
1970,72.4
1971,70
1972,75
1973,90
1974,58
1975,60
1976,70
1977,86.5
1978,69.2
1979,85
1980,68.8
1981,77.4
1982,126.2
1983,175
1984,103
1985,63.8
1986,83.2
1987,58.4
1988,49.5
1989,80
1990,270
1991,57.4
1992,43
1993,42
1994,58.2
1995,85.6
1996,50.9
1997,110
1998,90.7
1999,95.8
2000,69.4
2001,42.4
2002,83
2003,143.7
2004,70.6
2005,95.5
2006,92
2007,82.9
2008,90.7
2009,176
2010,110.4
2011,83.6
2012,88.3
2013,147.6
2014,91.8
2015,139.3
2017,65.5
