UF,PR
Cidade,PARANAVAI
Nome Posto,FAZENDA AURORA
Latitude,-22.883055555555558
Longitude,-52.533055555555556
Codigo,2252027
Qtd. Anos,44
Ano,Maxima
1975,75.2
1976,79
1977,58.8
1978,68.4
1979,77.2
1980,96.2
1981,89.8
1982,121.8
1983,65.2
1984,74
1985,90.4
1986,78.2
1987,54.6
1988,66
1989,70
1990,87.5
1991,75.6
1992,89.2
1993,62.4
1994,67.6
1995,102.2
1996,60.4
1997,94
1998,84.5
1999,65.2
2000,95.5
2001,57.6
2002,96.2
2003,92.2
2004,92.1
2005,74.6
2006,98.9
2007,81.3
2008,129.6
2009,101.2
2010,136.7
2011,102.1
2012,139.2
2013,106.7
2014,84.4
2015,152.6
2016,87.6
2017,117
2018,70
