UF,PR
Cidade,GUARAPUAVA
Nome Posto,GUARAPUAVA
Latitude,-25.35
Longitude,-51.483333333333334
Codigo,2551000
Qtd. Anos,65
Ano,Maxima
1953,67
1954,71.7
1955,68.3
1956,73.2
1957,126.2
1958,126.2
1959,83.6
1960,83
1961,76.8
1962,70.6
1963,59.6
1964,80.2
1965,94.1
1966,64.1
1967,113
1968,56.2
1969,70
1970,68.2
1971,123.6
1972,83.6
1973,110.4
1974,85.3
1975,63
1976,71
1977,65.7
1978,56.2
1979,79.6
1980,75.4
1981,65.8
1982,90.4
1983,137
1984,89.1
1985,51.9
1986,84.4
1987,128.6
1988,67.8
1989,87.6
1990,70.4
1991,63.4
1992,184
1993,99.6
1994,77.8
1995,117.4
1996,83.6
1997,86.1
1998,128.2
1999,84.6
2000,82
2001,71
2002,72.2
2003,74
2004,94.3
2005,81.8
2006,76.9
2007,82.7
2008,98.3
2009,64.2
2010,92.1
2011,135.3
2012,100.3
2013,172
2014,182
2015,73
2016,87.7
2017,1555.4
