UF,PR
Cidade,ALTAMIRA DO PARANA
Nome Posto,BALSA DO CANTU
Latitude,-24.74888888888889
Longitude,-52.70194444444445
Codigo,2452000
Qtd. Anos,50
Ano,Maxima
1967,87.2
1968,89.6
1969,78.8
1970,62.4
1971,82.4
1972,60.3
1973,70.3
1974,83.2
1975,74.6
1976,102.2
1977,72.2
1978,77.8
1979,89.4
1980,90.2
1981,98.6
1982,100.8
1983,102.2
1984,107
1985,87.8
1986,124.8
1987,98.4
1988,79.4
1989,95
1990,51.1
1991,79.3
1992,155
1993,91
1994,86.8
1995,113.8
1996,91
1997,401.7
1998,166.8
1999,167.3
2000,82.8
2001,79.1
2002,131.5
2003,131.6
2004,85.2
2005,110.9
2006,81.8
2007,99.2
2008,96.5
2009,110.6
2010,107.6
2011,148.2
2012,145.6
2013,121.6
2014,159.7
2015,98.2
2017,20.1
