UF,PR
Cidade,ANDIRA
Nome Posto,NOSSA SENHORA  APARECIDA
Latitude,-22.96527777777778
Longitude,-50.26611111111111
Codigo,2250033
Qtd. Anos,44
Ano,Maxima
1975,93.8
1976,83.4
1977,68.9
1978,69.9
1979,79.5
1980,76.4
1981,153.9
1982,80.2
1983,81.6
1984,82.5
1985,57.1
1986,62
1987,66.5
1988,125.3
1989,83.5
1990,106.9
1991,56.1
1992,63.4
1993,49.5
1994,116.6
1995,79.1
1996,64.6
1997,105.6
1998,65.6
1999,67.7
2000,78.8
2001,88.6
2002,72.6
2003,60.7
2004,96.5
2005,96.9
2006,53.9
2007,73.4
2008,71.6
2009,62.7
2010,57.7
2011,91.3
2012,216.5
2013,85.6
2014,68.7
2015,87.5
2016,117.8
2017,84.6
2018,75.7
