UF,PR
Cidade,SAO JOAO DO TRIUNFO
Nome Posto,GUAIACA
Latitude,-25.621944444444445
Longitude,-50.20027777777778
Codigo,2550037
Qtd. Anos,42
Ano,Maxima
1975,78.9
1976,96.8
1977,90
1978,69.2
1979,170
1980,65.2
1981,44.1
1982,68.9
1983,108.4
1984,68.2
1985,53.4
1986,111.6
1987,131.4
1988,61.4
1989,90.2
1990,80
1991,75.2
1992,132.8
1993,112.5
1994,76.9
1995,92.7
1996,71.6
1997,86.5
1998,81.4
1999,71.7
2000,100
2001,101.4
2002,93
2003,64.4
2004,59
2005,83.1
2006,55
2007,69.2
2008,86
2009,75.4
2010,114.7
2011,57.5
2012,71.2
2013,86.2
2014,150
2015,100
2017,69.1
