UF,PR
Cidade,BORRAZOPOLIS
Nome Posto,BORRAZOPOLIS
Latitude,-23.940833333333334
Longitude,-51.58777777777778
Codigo,2351020
Qtd. Anos,41
Ano,Maxima
1975,73.3
1976,75.1
1977,74.2
1978,86.8
1979,100.8
1980,57
1981,100.8
1982,105.2
1983,102.8
1984,72
1985,88.6
1986,75
1987,119.7
1988,62.5
1989,86.4
1990,78
1991,90
1992,88.2
1993,75.8
1994,80.9
1995,104.2
1996,90.2
1997,120.8
1998,102
1999,118.8
2000,129.7
2001,89.5
2002,187.7
2003,105.8
2004,94.5
2005,74.5
2006,62.5
2007,145
2008,97.7
2009,127.3
2010,72
2011,120.5
2012,95.6
2013,102.7
2014,106.8
2015,107.2
