UF,PR
Cidade,RIO BRANCO DO SUL
Nome Posto,BALSA DO JACARE
Latitude,-24.966666666666665
Longitude,-49.46666666666667
Codigo,2449063
Qtd. Anos,40
Ano,Maxima
1978,34.9
1979,27.4
1980,37
1981,67.2
1982,120.2
1983,125.2
1984,71.8
1985,76.8
1986,92.5
1987,138.3
1988,117.3
1989,89.5
1990,88.3
1991,110.7
1992,91.9
1993,120.8
1994,115.7
1995,141.5
1996,138.9
1997,141.1
1998,91.9
1999,92.1
2000,93.1
2001,81.1
2002,76.4
2003,86.7
2004,77.1
2005,107.4
2006,61.3
2007,99.7
2008,80.6
2009,83.7
2010,99.3
2011,110.6
2012,94.8
2013,91.8
2014,132.9
2015,85.7
2016,69.7
2017,71.8
