UF,PR
Cidade,ARAUCARIA
Nome Posto,BARRAGEM SANEPAR - PASSAUNA
Latitude,-25.53777777777778
Longitude,-49.38916666666667
Codigo,2549081
Qtd. Anos,34
Ano,Maxima
1983,111.5
1984,85
1985,45
1986,43.2
1987,90.1
1988,75
1989,72.6
1990,83.7
1991,51.7
1992,89.5
1993,106.5
1994,56.4
1995,101.2
1996,57.2
1997,70.6
1998,79.9
1999,66.8
2000,80.9
2001,107.3
2002,70.3
2003,88.2
2004,81.8
2005,62.4
2006,104.4
2007,113.4
2008,68.7
2009,105.9
2010,63.9
2011,88
2012,83.4
2013,116.8
2014,72.2
2015,99.4
2017,1555.4
