UF,PR
Cidade,CAMPINA GRANDE DO SUL
Nome Posto,POSTO FISCAL -  KM 309
Latitude,-25.083333333333332
Longitude,-48.6
Codigo,2548036
Qtd. Anos,43
Ano,Maxima
1974,50.2
1975,74.3
1976,143.4
1977,48.2
1978,56.6
1979,78.4
1980,68.1
1981,78.5
1982,73
1983,79.2
1984,72
1985,50
1986,63.6
1987,72.4
1988,120.8
1989,75.2
1990,160.1
1991,85.4
1992,145.1
1993,127.3
1994,71.2
1995,194.8
1996,177.4
1997,105.9
1998,79.1
1999,60.6
2000,63.4
2001,153.4
2002,89.7
2003,118.5
2004,120
2005,73.2
2006,70.1
2007,113.8
2008,82.6
2009,52
2010,100.6
2011,91.1
2012,105.8
2013,68
2014,50
2015,88.3
2017,49.9
