UF,PR
Cidade,MATELANDIA
Nome Posto,MATELANDIA
Latitude,-25.240000000000002
Longitude,-53.97527777777778
Codigo,2554005
Qtd. Anos,52
Ano,Maxima
1965,89
1966,76.4
1967,98
1968,132
1969,169.5
1970,80
1971,83
1972,109.2
1973,95
1974,104
1975,107
1976,97
1977,115
1978,104.9
1979,102.4
1980,72.1
1981,172.2
1982,122.8
1983,112.1
1984,101.2
1985,77
1986,89.2
1987,163.4
1988,87.7
1989,76.4
1990,200.8
1991,126.4
1992,178.6
1993,137.8
1994,92.3
1995,77.9
1996,136.8
1997,115.4
1998,162.5
1999,146.6
2000,105
2001,102.2
2002,124.5
2003,158
2004,108
2005,134.1
2006,77.5
2007,134
2008,98.5
2009,97.3
2010,99
2011,117.4
2012,116.7
2013,188
2014,240
2015,132.3
2017,100.5
