UF,PR
Cidade,SANTA HELENA
Nome Posto,SAO CLEMENTE
Latitude,-24.778888888888886
Longitude,-54.239444444444445
Codigo,2454012
Qtd. Anos,42
Ano,Maxima
1975,73.2
1976,87.9
1977,80.1
1978,90.8
1979,91.8
1980,116.4
1981,83.9
1982,70.4
1983,166.2
1984,88.2
1985,111.4
1986,128.4
1987,98.1
1988,76.9
1989,87.2
1990,87
1991,114.6
1992,122.6
1993,117.5
1994,78
1995,85
1996,103
1997,122.1
1998,115.5
1999,79.9
2000,112
2001,135.5
2002,140
2003,105
2004,136.2
2005,88.1
2006,78.1
2007,94.3
2008,104.3
2009,113.3
2010,85.8
2011,129.8
2012,145.2
2013,90.9
2014,194.5
2015,96.2
2017,92.7
