UF,PR
Cidade,MARECHAL CANDIDO RONDON
Nome Posto,PORTO MENDES GONCALVES
Latitude,-24.49138888888889
Longitude,-54.309444444444445
Codigo,2454000
Qtd. Anos,68
Ano,Maxima
1941,123.2
1942,105.2
1943,98
1944,76.4
1945,91.6
1946,124
1947,90
1948,158.4
1949,88
1950,106.6
1951,97
1952,99.4
1953,104
1954,120
1955,137.2
1956,167.4
1957,103.2
1958,92.2
1959,163.2
1960,80.3
1961,130
1962,175.3
1963,120
1964,102
1965,100
1966,105
1967,112
1968,78
1969,243
1970,89
1971,101
1972,115.2
1973,100.4
1974,91
1975,79
1976,76
1977,92
1978,52.4
1979,99.2
1980,80.2
1981,130
1982,83
1983,112
1984,71.8
1985,66.4
1986,84.8
1987,109.8
1988,72.6
1989,140.7
1990,84.1
1991,87.5
1992,116.4
1993,99.8
1994,62
1995,84.4
1996,78.4
1997,101.3
1998,92
1999,101
2000,71
2001,88.6
2002,99.2
2003,127.2
2004,64
2005,95
2006,109
2007,87
2008,130
