UF,PR
Cidade,GUARATUBA
Nome Posto,GUARATUBA
Latitude,-25.883333333333333
Longitude,-48.583333333333336
Codigo,2548053
Qtd. Anos,37
Ano,Maxima
1974,65.1
1975,66.2
1976,106.4
1977,119.6
1978,139.5
1979,139.6
1980,309.6
1981,105.8
1982,167.4
1983,93.1
1984,99
1985,99.6
1986,84.4
1987,137.3
1988,79.5
1989,157
1990,90.3
1991,153.6
1992,88.9
1999,172.3
2000,128.1
2001,95.6
2002,91.1
2003,94.8
2004,95.7
2005,85.8
2006,110.3
2007,133.6
2008,212.4
2009,95.6
2010,172.8
2011,112.4
2012,86.4
2013,93
2014,67.8
2015,134.6
2017,92.6
